Tiempo,kalmanPitch,kalmanRoll,kalmanYaw
0.02,5.44,-2.26,94.12
0.04,5.43,-2.25,94.12
0.06,5.43,-2.25,94.12
0.08,5.61,-2.17,94.12
0.1,5.72,-2.12,94.12
0.12000000000000001,5.79,-2.08,94.12
0.14,5.65,-2.15,94.12
0.16,5.57,-2.2,94.12
0.18,5.52,-2.22,94.02
0.19999999999999998,5.49,-2.24,94.6
0.21999999999999997,5.56,-2.25,94.6
0.23999999999999996,5.6,-2.25,94.65
0.25999999999999995,5.63,-2.26,94.65
0.27999999999999997,5.64,-2.26,94.65
0.3,5.47,-2.26,94.65
0.32,5.37,-2.26,94.65
0.34,5.31,-2.26,94.65
0.36000000000000004,5.36,-2.17,94.65
0.38000000000000006,5.39,-2.12,94.65
0.4000000000000001,5.41,-2.09,94.65
0.4200000000000001,5.42,-2.07,94.65
0.4400000000000001,5.43,-2.06,93.97
0.46000000000000013,5.43,-2.05,93.89
0.48000000000000015,5.44,-2.04,96.64
0.5000000000000001,5.44,-2.04,96.64
0.5200000000000001,5.7,-2.13,96.64
0.5400000000000001,5.86,-2.18,96.64
0.5600000000000002,5.61,-2.12,96.64
0.5800000000000002,5.46,-2.09,96.64
0.6000000000000002,5.36,-2.07,96.64
0.6200000000000002,5.3,-2.06,95.28
0.6400000000000002,5.45,-2.05,95.28
0.6600000000000003,5.53,-2.04,93.97
0.6800000000000003,5.58,-2.04,96.03
0.7000000000000003,5.62,-2.04,95.89
0.7200000000000003,5.64,-2.04,95.89
0.7400000000000003,5.56,-2.04,95.89
0.7600000000000003,5.51,-2.04,95.89
0.7800000000000004,5.66,-2.12,95.89
0.8000000000000004,5.75,-2.18,95.89
0.8200000000000004,5.8,-2.21,95.89
0.8400000000000004,5.84,-2.23,95.89
0.8600000000000004,5.68,-2.15,95.89
0.8800000000000004,5.59,-2.11,94.71
0.9000000000000005,5.53,-2.08,93.26
0.9200000000000005,5.5,-2.06,94.61
0.9400000000000005,5.47,-2.05,94.61
0.9600000000000005,5.46,-2.05,94.61
0.9800000000000005,5.45,-2.04,94.61
1.0000000000000004,5.45,-2.04,94.61
1.0200000000000005,5.44,-2.04,94.61
1.0400000000000005,5.44,-2.04,94.61
1.0600000000000005,5.62,-2.12,94.61
1.0800000000000005,5.46,-2.09,94.61
1.1000000000000005,5.36,-2.07,95.21
1.1200000000000006,5.31,-2.06,95.21
1.1400000000000006,5.27,-2.05,97.24
1.1600000000000006,5.25,-2.04,97.24
1.1800000000000006,5.24,-2.04,97.24
1.2000000000000006,5.58,-2.04,97.24
1.2200000000000006,5.44,-2.04,97.24
1.2400000000000007,5.35,-2.04,97.24
1.2600000000000007,5.3,-2.04,97.24
1.2800000000000007,5.35,-2.12,97.24
1.3000000000000007,5.39,-2.18,95.28
1.3200000000000007,5.41,-2.21,94.76
1.3400000000000007,5.51,-2.14,94.76
1.3600000000000008,5.57,-2.1,94.71
1.3800000000000008,5.61,-2.08,94.71
1.4000000000000008,5.63,-2.06,94.71
1.4200000000000008,5.64,-2.05,94.71
1.4400000000000008,5.65,-2.04,94.71
1.4600000000000009,5.66,-2.04,94.71
1.4800000000000009,5.57,-2.13,94.71
1.5000000000000009,5.52,-2.18,94.71
1.520000000000001,5.49,-2.21,95.15
1.540000000000001,5.47,-2.23,94.65
1.560000000000001,5.55,-2.24,94.65
1.580000000000001,5.59,-2.25,94.02
1.600000000000001,5.62,-2.25,94.02
1.620000000000001,5.64,-2.17,94.02
1.640000000000001,5.56,-2.12,94.02
1.660000000000001,5.51,-2.09,94.02
1.680000000000001,5.48,-2.07,94.02
1.700000000000001,5.47,-2.05,94.02
1.720000000000001,5.46,-2.05,94.02
1.740000000000001,5.45,-2.04,93.25
1.7600000000000011,5.53,-2.13,93.25
1.7800000000000011,5.59,-2.18,96.03
1.8000000000000012,5.62,-2.21,95.28
1.8200000000000012,5.64,-2.23,93.97
1.8400000000000012,5.65,-2.24,93.97
1.8600000000000012,5.65,-2.16,93.97
1.8800000000000012,5.66,-2.11,93.97
1.9000000000000012,5.57,-2.08,93.97
1.9200000000000013,5.52,-2.06,93.97
1.9400000000000013,5.49,-2.05,93.97
1.9600000000000013,5.47,-2.05,93.97
1.9800000000000013,5.55,-2.13,93.97
2.0000000000000013,5.59,-2.18,94.12
2.0200000000000014,5.62,-2.21,93.89
2.0400000000000014,5.64,-2.14,93.89
2.0600000000000014,5.65,-2.1,93.89
2.0800000000000014,5.66,-2.08,93.89
2.1000000000000014,5.66,-2.06,93.89
2.1200000000000014,5.49,-2.05,93.89
2.1400000000000015,5.38,-2.05,93.89
2.1600000000000015,5.32,-2.04,93.89
2.1800000000000015,5.36,-2.04,93.89
2.2000000000000015,5.48,-2.13,93.89
2.2200000000000015,5.55,-2.18,96.03
2.2400000000000015,5.6,-2.21,94.22
