Tiempo,kalmanPitch,kalmanRoll,kalmanYaw,ax_inertial,ay_inertial,az_inertial,vx,vy,vz,px,py,pz
0.02,7.71,-0.66,153.51,-0.51,1.59,9.55,-284.5,925.52,3813.79,-70152.0,230272.59,773079.38
0.04,7.79,-0.67,153.51,-0.51,1.63,9.55,-284.53,925.6,3814.27,-70166.23,230318.88,773270.06
0.06,7.85,-0.66,153.51,-0.52,1.64,9.55,-284.56,925.68,3814.75,-70180.45,230365.16,773460.81
0.08,7.87,-0.67,153.51,-0.53,1.64,9.55,-284.58,925.77,3815.23,-70194.68,230411.44,773651.56
0.1,7.89,-0.67,153.51,-0.53,1.64,9.55,-284.61,925.85,3815.7,-70208.91,230457.73,773842.38
0.12000000000000001,7.89,-0.67,153.51,-0.54,1.64,9.59,-284.64,925.93,3816.18,-70223.14,230504.03,774033.19
0.14,7.89,-0.67,152.54,-0.53,1.64,9.59,-284.66,926.01,3816.66,-70237.38,230550.33,774224.0
0.16,7.88,-0.67,151.4,-0.51,1.65,9.59,-284.69,926.09,3817.14,-70251.61,230596.64,774414.88
0.18,7.88,-0.67,153.04,-0.51,1.65,9.59,-284.71,926.18,3817.62,-70265.84,230642.95,774605.75
0.19999999999999998,7.81,-0.68,153.04,-0.52,1.6,9.55,-284.74,926.26,3818.1,-70280.08,230689.27,774796.63
0.21999999999999997,7.77,-0.67,153.04,-0.52,1.6,9.55,-284.77,926.34,3818.58,-70294.31,230735.58,774987.56
0.23999999999999996,7.74,-0.67,153.04,-0.51,1.6,9.55,-284.79,926.42,3819.05,-70308.55,230781.91,775178.5
0.25999999999999995,7.8,-0.75,153.04,-0.48,1.61,9.59,-284.81,926.5,3819.53,-70322.8,230828.23,775369.5
0.27999999999999997,7.83,-0.8,153.04,-0.49,1.6,9.6,-284.84,926.58,3820.01,-70337.04,230874.56,775560.5
0.3,7.86,-0.84,153.04,-0.5,1.6,9.6,-284.86,926.66,3820.49,-70351.28,230920.89,775751.5
0.32,7.87,-0.87,152.07,-0.49,1.6,9.6,-284.89,926.74,3820.97,-70365.52,230967.23,775942.56
0.34,7.88,-0.79,152.07,-0.51,1.63,9.59,-284.91,926.82,3821.45,-70379.77,231013.58,776133.63
0.36000000000000004,7.88,-0.75,152.98,-0.52,1.63,9.59,-284.94,926.9,3821.93,-70394.02,231059.92,776324.75
0.38000000000000006,7.89,-0.72,152.98,-0.52,1.64,9.59,-284.97,926.98,3822.41,-70408.27,231106.27,776515.88
0.4000000000000001,7.89,-0.71,152.98,-0.52,1.64,9.59,-284.99,927.06,3822.89,-70422.52,231152.63,776707.0
0.4200000000000001,7.9,-0.7,152.98,-0.52,1.64,9.55,-285.02,927.15,3823.37,-70436.77,231198.98,776898.19
0.4400000000000001,7.91,-0.68,152.98,-0.52,1.64,9.55,-285.04,927.23,3823.85,-70451.02,231245.34,777089.38
0.46000000000000013,7.92,-0.67,152.98,-0.52,1.64,9.55,-285.07,927.31,3824.32,-70465.27,231291.7,777280.56
0.48000000000000015,7.92,-0.67,152.98,-0.52,1.65,9.55,-285.1,927.39,3824.8,-70479.52,231338.08,777471.81
0.5000000000000001,7.92,-0.66,152.98,-0.52,1.65,9.55,-285.12,927.48,3825.28,-70493.78,231384.45,777663.06
0.5200000000000001,7.93,-0.66,151.48,-0.5,1.65,9.55,-285.15,927.56,3825.75,-70508.04,231430.83,777854.38
0.5400000000000001,7.93,-0.66,152.54,-0.51,1.65,9.55,-285.17,927.64,3826.23,-70522.3,231477.2,778045.69
